open_datetime,open,high,low,close,volume,close_datetime,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1680360300000,28352.41000000,28370.00000000,28320.57000000,28342.12000000,112.49951000,1680360599999,3188788.73110920,4015,55.97650000,1586700.54263730
1680360600000,28342.12000000,28379.50000000,28342.12000000,28375.80000000,103.57264000,1680360899999,2937674.41780090,3377,67.62223000,1917964.27908400
1680360900000,28375.80000000,28375.80000000,28318.04000000,28318.04000000,154.20014000,1680361199999,4371051.80957690,3781,59.45391000,1685411.34399790
1680361200000,28318.04000000,28332.20000000,28220.27000000,28312.12000000,506.73975000,1680361499999,14333472.79324650,10137,174.77458000,4944672.47273590
1680361500000,28312.13000000,28347.45000000,28308.07000000,28340.14000000,158.67134000,1680361799999,4494579.63390350,3950,102.17548000,2894220.88228730
1680361800000,28340.14000000,28370.23000000,28312.80000000,28324.24000000,209.32438000,1680362099999,5931795.84135420,4140,116.90898000,3313671.66396310
1680362100000,28324.23000000,28350.66000000,28324.23000000,28328.87000000,81.02425000,1680362399999,2296079.81614130,2769,49.84639000,1412555.60414190
1680362400000,28328.88000000,28357.19000000,28325.23000000,28351.42000000,113.22573000,1680362699999,3208887.75711940,3270,70.63020000,2001684.90108800
1680362700000,28351.43000000,28358.62000000,28349.48000000,28358.61000000,57.99883000,1680362999999,1644455.79554540,1924,37.33603000,1058598.20646820
1680363000000,28358.61000000,28389.98000000,28358.61000000,28375.67000000,125.91055000,1680363299999,3572724.01117110,3827,60.88602000,1727575.90172370
1680363300000,28375.67000000,28375.68000000,28349.03000000,28354.69000000,71.84508000,1680363599999,2037381.41173260,2392,31.28422000,887141.43875200
1680363600000,28354.69000000,28378.41000000,28354.68000000,28366.62000000,62.63139000,1680363899999,1776755.47362740,2702,34.73535000,985329.65433480
1680363900000,28366.61000000,28372.35000000,28364.75000000,28371.23000000,51.10367000,1680364199999,1449781.68564620,1580,33.78482000,958447.80276600
1680364200000,28371.22000000,28382.79000000,28367.16000000,28369.43000000,48.62519000,1680364499999,1379705.93950580,1898,26.25587000,744975.59230930
1680364500000,28369.43000000,28405.31000000,28358.14000000,28400.07000000,118.34688000,1680364799999,3359273.90209470,2695,87.94829000,2496437.16139260
1680364800000,28400.07000000,28405.30000000,28384.80000000,28386.14000000,113.09411000,1680365099999,3211064.76681320,2747,57.61849000,1635947.83349590
1680365100000,28386.13000000,28416.87000000,28383.85000000,28406.37000000,104.82710000,1680365399999,2977434.88390770,2792,59.83691000,1699592.73745090
1680365400000,28406.37000000,28443.04000000,28406.37000000,28441.29000000,162.97580000,1680365699999,4633531.71691720,3949,85.39923000,2427908.21885760
1680365700000,28441.29000000,28441.30000000,28425.20000000,28430.00000000,89.34580000,1680365999999,2540398.29123720,2941,37.64132000,1070252.20063650
