open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1644598800000,43577.91000000,43723.78000000,43374.02000000,43417.18000000,1204.45876000,1644602399999,52427849.12036140,33264,628.21393000,27351030.44235770,0
1644602400000,43417.18000000,43500.00000000,42581.07000000,42664.58000000,2949.24691000,1644605999999,126739417.69222510,73227,1410.86288000,60637645.69173910,0
1644606000000,42664.58000000,43180.90000000,42050.00000000,42742.63000000,4798.88874000,1644609599999,204384306.14108040,104047,2276.62058000,97016077.19044670,0
1644609600000,42742.63000000,42865.58000000,42217.55000000,42338.66000000,3170.07889000,1644613199999,134658427.90991870,65727,1633.13940000,69398141.71419460,0
1644613200000,42338.65000000,42735.78000000,42293.09000000,42543.60000000,1194.11033000,1644616799999,50812139.83786040,35010,615.20971000,26174862.51718590,0
1644616800000,42542.02000000,42604.19000000,42000.00000000,42155.01000000,1498.57092000,1644620399999,63339220.09600990,52983,651.11077000,27526843.96128000,0
1644620400000,42155.00000000,42443.38000000,41938.51000000,42373.73000000,1392.29116000,1644623999999,58817818.85129520,36104,711.48670000,30067333.05178570,0
1644624000000,42373.73000000,42415.45000000,42221.38000000,42311.00000000,1040.25762000,1644627599999,44011014.67802850,39067,556.32569000,23536809.14903840,0
1644627600000,42311.00000000,42485.66000000,42252.58000000,42447.82000000,812.96442000,1644631199999,34460726.28817700,26976,365.22330000,15482900.41357430,0
1644631200000,42447.83000000,42480.55000000,42338.95000000,42449.73000000,448.85351000,1644634799999,19035496.49563940,20425,218.32602000,9258771.52578780,0
1644634800000,42449.75000000,42450.00000000,42156.99000000,42288.46000000,986.21910000,1644638399999,41695858.65821770,25736,426.37283000,18025009.36381090,0
1644638400000,42288.45000000,42428.30000000,42223.88000000,42287.00000000,748.95378000,1644641999999,31710815.07857840,23466,321.38621000,13607407.86455050,0
1644642000000,42287.01000000,42414.84000000,42200.00000000,42272.01000000,571.19451000,1644645599999,24159029.38469270,26638,251.63139000,10643221.07597480,0
1644645600000,42272.01000000,42315.88000000,41688.88000000,42039.37000000,1907.49953000,1644649199999,80098548.84288860,56093,844.90910000,35480991.16185240,0
1644649200000,42039.38000000,42232.92000000,41935.02000000,42103.94000000,1140.05063000,1644652799999,47978516.48268570,40221,582.80643000,24530133.75537610,0
1644652800000,42103.94000000,42382.71000000,42101.11000000,42278.60000000,1086.24319000,1644656399999,45904588.25638610,34416,570.18448000,24095352.65475440,0
1644656400000,42278.60000000,42459.06000000,42230.81000000,42393.81000000,847.74284000,1644659999999,35910139.47747270,29316,490.31668000,20772801.12223640,0
1644660000000,42393.80000000,42399.30000000,42100.00000000,42263.62000000,748.82261000,1644663599999,31631843.79586150,31941,324.43669000,13703487.31229360,0
1644663600000,42263.62000000,42430.54000000,41888.82000000,42406.48000000,1129.83808000,1644667199999,47662006.34290890,37171,551.62213000,23278746.83672610,0
